N,P,K,temperature,humidity,ph,rainfall,label
73,57,44,20.87974371,82.00274423,6.502985292,202.9355362,rice
74,57,44,21.77046169,80.31964408,7.038096361,226.6555374,rice
92,41,38,23.00445915,82.3207629,7.840207144,263.9642476,rice
68,44,38,26.49109635,80.15836264,6.980400905,242.8640342,rice
66,36,40,20.13017482,81.60487287,7.628472891,262.7173405,rice
62,52,44,23.05804872,83.37011772,7.073453503,251.0549998,rice
90,57,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
81,53,35,20.27774362,82.89408619,5.718627178,241.9741949,rice
64,58,42,24.51588066,83.5352163,6.685346424,230.4462359,rice
60,36,37,23.22397386,83.03322691,6.336253525,221.2091958,rice
94,38,44,26.52723513,81.41753846,5.386167788,264.6148697,rice
97,49,40,23.97898217,81.45061596,7.50283396,250.0832336,rice
74,60,35,26.80079604,80.88684822,5.108681786,284.4364567,rice
87,59,35,24.01497622,82.05687182,6.98435366,185.2773389,rice
81,45,40,25.66585205,80.66385045,6.94801983,209.5869708,rice
98,36,44,24.28209415,80.30025587,7.042299069,231.0863347,rice
92,58,39,21.58711777,82.7883708,6.249050656,276.6552459,rice
74,41,37,23.79391957,80.41817957,6.970859754,206.2611855,rice
96,59,38,21.8652524,80.1923008,5.953933276,224.5550169,rice
64,42,39,23.57943626,83.58760316,5.85393208,291.2986618,rice
65,40,42,21.32504158,80.47476396,6.442475375,185.4974732,rice
94,43,40,25.15745531,83.11713476,5.070175667,231.3843163,rice
97,42,45,21.94766735,80.97384195,6.012632591,213.3560921,rice
83,57,42,21.0525355,82.67839517,6.254028451,233.1075816,rice
63,50,42,23.48381344,81.33265073,7.375482851,224.0581164,rice
71,36,41,25.0756354,80.52389148,7.778915154,257.0038865,rice
96,53,42,26.35927159,84.04403589,6.286500176,271.3586137,rice
72,42,37,24.52922681,80.54498576,7.070959995,260.2634026,rice
90,36,35,20.77576147,84.49774397,6.244841491,240.0810647,rice
96,55,42,22.30157427,80.64416466,6.043304899,197.9791215,rice
85,55,45,21.44653958,84.94375962,5.824709117,272.2017204,rice
69,49,35,22.17931888,80.33127223,6.357389366,200.0882787,rice
73,49,37,24.52783742,82.73685569,6.364134968,224.6757231,rice
66,39,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
86,46,45,25.7354293,83.88266234,6.149410611,233.1321372,rice
84,42,38,26.79533926,82.1480873,5.950660556,193.3473987,rice
64,46,41,26.75754171,81.17734011,5.960370061,272.2999056,rice
85,54,39,23.86330467,83.15250801,5.561398642,285.2493645,rice
62,53,41,21.01944696,82.95221726,7.416245107,298.4018471,rice
68,56,45,24.17298839,83.7287574,5.583370042,257.0343554,rice
63,50,38,22.78133816,82.06719137,6.430010215,248.7183228,rice
97,48,41,25.62980105,83.52842314,5.534878156,209.9001977,rice
67,60,43,25.59704938,80.14509262,6.903985986,200.834898,rice
60,58,37,23.83067496,84.81360127,6.271478838,298.5601175,rice
99,46,35,26.31355498,82.36698992,7.224285503,265.5355937,rice
84,43,40,24.8972823,80.52586088,6.13428721,183.6793207,rice
93,57,39,24.958779,84.47963372,5.206373153,196.9560008,rice
95,47,40,23.24113501,84.59201843,7.782051313,233.0453455,rice
62,49,43,21.66628296,80.70960551,7.062779015,210.8142087,rice
78,46,35,24.63544858,80.41363018,7.730367824,253.7202781,rice
83,50,40,23.43121862,83.06310136,5.286203711,219.9048349,rice
86,56,38,20.0454142,80.3477562,6.766240045,208.5810155,rice
73,55,41,23.85724032,82.22572988,7.382762603,195.0948311,rice
68,45,39,21.97199397,81.89918197,5.658169482,227.3637009,rice
75,37,35,26.22916897,83.83625819,5.543360238,286.5083725,rice
62,60,43,23.44676801,84.79352417,6.215109715,283.9338466,rice
89,43,40,25.65553461,83.47021081,7.120272972,217.3788583,rice
71,38,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
95,58,35,20.2801937,82.1235421,7.236705436,191.9535738,rice
79,59,36,21.7238313,80.2389895,6.501697816,277.9626192,rice
62,43,41,20.41447029,82.20802629,7.592490617,245.1511304,rice
63,56,38,25.75528612,83.51827127,5.875345751,245.6626799,rice
76,43,43,20.61521424,83.77345559,6.932400225,279.5451717,rice
90,38,45,21.84106875,80.72886384,6.946209881,202.3838319,rice
93,52,39,20.08369642,83.29114712,5.739175027,263.6372176,rice
83,51,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
78,49,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
77,52,39,25.78720567,82.11124033,6.946636369,243.5120414,rice
67,37,39,23.64124821,80.28597873,5.012139669,263.1103304,rice
76,54,43,23.43191632,80.56887849,6.363472208,269.5039162,rice
79,58,41,24.97669518,83.891805,6.880431223,204.8001847,rice
70,40,45,22.72791041,82.1706881,7.300410836,260.8875056,rice
85,48,45,24.87300744,82.84022551,6.587918708,295.6094492,rice
70,37,37,21.32376327,83.00320459,7.283736617,192.3197536,rice
95,49,45,26.29465461,84.56919326,7.023936392,257.4914906,rice
95,53,43,22.2286982,81.85872947,6.939083505,278.0791793,rice
77,60,43,26.73072391,81.78596776,7.868474653,280.4044392,rice
71,50,39,24.88921174,81.97927117,5.005306977,185.9461429,rice
61,48,44,26.88444878,81.46033732,6.136131869,194.5766559,rice
80,50,39,22.67846116,83.72874389,7.524080076,200.9133156,rice
80,43,45,26.08867875,80.37979919,5.706943251,182.9043504,rice
62,45,43,25.42977518,82.94682591,5.758506323,195.3574542,rice
99,51,36,26.40323239,81.05635517,6.349606327,223.3671883,rice
62,44,38,26.04371967,84.96907151,5.999969026,186.7536773,rice
96,41,43,25.2827223,80.54372813,5.453592032,220.1156708,rice
95,37,42,22.08576562,83.47038318,6.372576327,231.7364957,rice
76,46,37,23.28617173,81.43321641,5.105588355,242.3170629,rice
76,40,35,25.48591986,81.40633547,5.935344406,182.6549356,rice
83,52,41,23.67575393,81.03569343,5.17782304,233.7034975,rice
80,39,39,20.82477109,84.1341879,6.462391607,230.2242223,rice
88,55,35,26.92995077,81.91411159,7.069172227,290.6793783,rice
93,35,36,23.83509503,83.88387074,7.473134377,241.2013513,rice
71,58,38,26.52872817,80.12267476,6.158376967,218.9163567,rice
77,46,39,26.46428311,83.85642678,7.549873681,248.2256491,rice
73,59,43,22.69657794,82.81088865,6.028321558,256.9964761,rice
65,44,43,22.68319059,83.46358271,6.604993475,194.2651719,rice
91,44,35,21.53346343,82.14004101,6.500343222,295.9248796,rice
63,54,43,21.40865769,83.3293191,5.935745417,287.5766935,rice
87,50,35,26.54348085,84.67353597,7.072655622,183.6222657,rice
92,60,37,23.35905428,83.59512273,5.333322606,188.413665,rice
71,60,17,22.61359953,63.69070564,5.749914421,87.75953857,maize
89,52,18,26.10018422,71.57476937,6.931756558,102.2662445,maize
73,35,17,23.55882094,71.59351368,6.657964753,66.71995467,maize
86,37,23,19.97215954,57.68272924,6.596060648,60.65171481,maize
77,41,15,18.47891261,62.69503871,5.970458434,65.43835393,maize
60,53,18,21.77689322,57.80840636,6.158830619,102.0861694,maize
100,54,21,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,43,18,25.19192419,66.6902901,5.913664501,78.06639649,maize
79,39,16,20.41683147,62.5542482,5.855442401,65.27798457,maize
62,50,23,24.92162194,66.78627406,5.750254943,109.2162279,maize
85,38,17,23.31689124,73.4541537,5.852607099,94.29712821,maize
63,59,25,24.84016732,68.3584573,6.472523287,74.05474936,maize
98,38,21,22.27526694,58.84015925,6.967057762,63.87020584,maize
60,46,18,18.87751445,65.76816093,6.082973754,94.76189431,maize
75,37,17,25.19008683,60.2001687,5.919045532,72.12375573,maize
65,47,24,18.25405352,55.28220433,6.204747653,63.72358154,maize
93,36,25,24.6129118,70.4162444,6.600827017,104.1626147,maize
80,43,24,25.1420613,65.26185135,6.021902237,76.68456006,maize
83,49,17,23.09348056,60.1159381,6.033550195,65.49730729,maize
78,55,23,18.05033737,62.89366992,6.28886807,84.23613484,maize
89,59,24,24.9321581,73.80435276,6.550563823,79.74078719,maize
89,44,24,18.14710054,71.09445342,5.573286437,88.07753741,maize
77,51,16,18.28362235,66.65952796,6.829199275,80.97573281,maize
67,39,20,18.83344471,58.75082029,5.716222912,79.7532896,maize
93,55,19,25.71895816,67.22190688,5.54990242,74.51490791,maize
89,37,18,25.33797709,68.49835977,6.586244581,96.46380213,maize
77,36,20,23.89114571,57.48775781,5.893093135,102.8301942,maize
96,44,24,21.53574127,71.50905983,5.918263801,102.4852929,maize
82,58,23,23.08974909,63.10459626,5.588650585,70.43473609,maize
99,48,25,25.61707368,63.4711755,6.576418207,108.8303762,maize
97,41,21,21.44526922,63.1621551,6.178056304,65.88951188,maize
75,57,22,18.51816776,55.53128131,6.641906353,90.988051,maize
91,39,21,22.53510514,67.99257471,6.489040367,64.40866039,maize
85,42,25,23.02038334,61.89472002,5.680361038,63.03843397,maize
69,50,21,24.89364635,65.61418761,6.625404348,87.9298085,maize
71,54,24,25.77175115,74.089114,6.524478032,107.4931917,maize
72,59,23,19.39851734,62.35750641,5.696205468,60.95197486,maize
85,51,25,21.54156232,59.64024162,6.803931519,109.7515385,maize
84,60,21,23.79746068,74.82913698,6.252797548,91.76337172,maize
